Epoch 1, TLOSS 0.480403, LR 0.001000 
Epoch 2, TLOSS 0.286119, LR 0.001000 
Epoch 3, TLOSS 0.173478, LR 0.001000 
Epoch 4, TLOSS 0.136735, LR 0.001000 
Epoch 5, TLOSS 0.108482, LR 0.001000 
Epoch 6, TLOSS 0.087567, LR 0.000900 
Epoch 7, TLOSS 0.074909, LR 0.000900 
Epoch 8, TLOSS 0.063042, LR 0.000900 
Epoch 9, TLOSS 0.055855, LR 0.000900 
Epoch 10, TLOSS 0.052635, LR 0.000900 
Epoch 11, TLOSS 0.046899, LR 0.000810 
Epoch 12, TLOSS 0.042834, LR 0.000810 
Epoch 13, TLOSS 0.040957, LR 0.000810 
Epoch 14, TLOSS 0.038099, LR 0.000810 
Epoch 15, TLOSS 0.036603, LR 0.000810 
Epoch 16, TLOSS 0.036193, LR 0.000729 
Epoch 17, TLOSS 0.033982, LR 0.000729 
Epoch 18, TLOSS 0.033841, LR 0.000729 
Epoch 19, TLOSS 0.032429, LR 0.000729 
Epoch 20, TLOSS 0.031756, LR 0.000729 
Epoch 21, TLOSS 0.032135, LR 0.000656 
Epoch 22, TLOSS 0.030964, LR 0.000656 
Epoch 23, TLOSS 0.030349, LR 0.000656 
Epoch 24, TLOSS 0.029165, LR 0.000656 
Epoch 25, TLOSS 0.028266, LR 0.000656 
Epoch 26, TLOSS 0.028949, LR 0.000590 
Epoch 27, TLOSS 0.027660, LR 0.000590 
Epoch 28, TLOSS 0.027305, LR 0.000590 
Epoch 29, TLOSS 0.027847, LR 0.000590 
Epoch 30, TLOSS 0.027307, LR 0.000590 
Epoch 31, TLOSS 0.026471, LR 0.000531 
Epoch 32, TLOSS 0.025500, LR 0.000531 
Epoch 33, TLOSS 0.026765, LR 0.000531 
Epoch 34, TLOSS 0.026189, LR 0.000531 
Epoch 35, TLOSS 0.025758, LR 0.000531 
Epoch 36, TLOSS 0.026169, LR 0.000478 
Epoch 37, TLOSS 0.025464, LR 0.000478 
Epoch 38, TLOSS 0.025387, LR 0.000478 
Epoch 39, TLOSS 0.024888, LR 0.000478 
Epoch 40, TLOSS 0.024943, LR 0.000478 
Epoch 41, TLOSS 0.024670, LR 0.000430 
Epoch 42, TLOSS 0.024039, LR 0.000430 
Epoch 43, TLOSS 0.023419, LR 0.000430 
Epoch 44, TLOSS 0.023955, LR 0.000430 
Epoch 45, TLOSS 0.024738, LR 0.000430 
Epoch 46, TLOSS 0.023678, LR 0.000387 
Epoch 47, TLOSS 0.024328, LR 0.000387 
Epoch 48, TLOSS 0.023799, LR 0.000387 
Epoch 49, TLOSS 0.023187, LR 0.000387 
Epoch 50, TLOSS 0.023659, LR 0.000387 
Epoch 51, TLOSS 0.024674, LR 0.000349 
Epoch 52, TLOSS 0.023884, LR 0.000349 
Epoch 53, TLOSS 0.023572, LR 0.000349 
Epoch 54, TLOSS 0.022469, LR 0.000349 
Epoch 55, TLOSS 0.022711, LR 0.000349 
Epoch 56, TLOSS 0.023736, LR 0.000314 
Epoch 57, TLOSS 0.023702, LR 0.000314 
Epoch 58, TLOSS 0.023003, LR 0.000314 
Epoch 59, TLOSS 0.022138, LR 0.000314 
Epoch 60, TLOSS 0.023176, LR 0.000314 
Epoch 61, TLOSS 0.022517, LR 0.000282 
Epoch 62, TLOSS 0.022128, LR 0.000282 
Epoch 63, TLOSS 0.023137, LR 0.000282 
Epoch 64, TLOSS 0.022169, LR 0.000282 
Epoch 65, TLOSS 0.022326, LR 0.000282 
Epoch 66, TLOSS 0.021889, LR 0.000254 
Epoch 67, TLOSS 0.022137, LR 0.000254 
Epoch 68, TLOSS 0.021446, LR 0.000254 
Epoch 69, TLOSS 0.021983, LR 0.000254 
Epoch 70, TLOSS 0.021980, LR 0.000254 
Epoch 71, TLOSS 0.022167, LR 0.000229 
Epoch 72, TLOSS 0.021721, LR 0.000229 
Epoch 73, TLOSS 0.022258, LR 0.000229 
Epoch 74, TLOSS 0.021109, LR 0.000229 
Epoch 75, TLOSS 0.021181, LR 0.000229 
Epoch 76, TLOSS 0.020995, LR 0.000206 
Epoch 77, TLOSS 0.021591, LR 0.000206 
Epoch 78, TLOSS 0.021107, LR 0.000206 
Epoch 79, TLOSS 0.022186, LR 0.000206 
Epoch 80, TLOSS 0.021382, LR 0.000206 
Epoch 81, TLOSS 0.021416, LR 0.000185 
Epoch 82, TLOSS 0.021494, LR 0.000185 
Epoch 83, TLOSS 0.019688, LR 0.000185 
Epoch 84, TLOSS 0.021390, LR 0.000185 
Epoch 85, TLOSS 0.020105, LR 0.000185 
